LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate
13,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.186,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (/var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",e6386a66,<*> < * > <*> < * > - < * > c < * > - < * > <*> < * > c < * > - < * > <*> < * > b < * > <*> <*> <*> < * > c < * > <*> < * > c < * > <*> < * > b < * > c < * > <*> < * > <*> < * > <*> < * > <*> : <*> <*> : on this <*> < * > <*> <*> < * > on <*> <*> <*> this <*> <*> 
14,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.367,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,e5a19291,<*> <*> <*> : <*> < * > c < * > <*> < * > c < * > <*> < * > <*> < * > c < * > <*> < * > <*> < * > e < * > 
15,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:06.321,25746,INFO,nova.osapi_compute.wsgi.server,req-7160b3e7-676b-498f-b147-7759d8eaea76 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
16,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:06.584,25746,INFO,nova.osapi_compute.wsgi.server,req-e46f1fc1-61ce-4673-b3c7-f8bd94554273 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
17,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:07.864,25746,INFO,nova.osapi_compute.wsgi.server,req-546e2e6a-b85e-434a-91dc-53a0a9124a4f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
18,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:08.137,25746,INFO,nova.osapi_compute.wsgi.server,req-e2c35e53-06d3-4feb-84b9-705c94d40e5b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
19,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:09.411,25746,INFO,nova.osapi_compute.wsgi.server,req-ce9c8a59-c9ba-43b1-9735-318ceabc9216 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
20,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:09.692,25746,INFO,nova.osapi_compute.wsgi.server,req-e1da47c6-0f46-4ce8-940c-05397a5fab9e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
21,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.279,25743,INFO,nova.api.openstack.compute.server_external_events,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:e<*>ffd-<*>cd<*>-<*>-bddd-<*>f<*>b<*> for instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d,1f26066d,<*> <*> <*> : e < * > <*> < * > <*> < * > - < * > <*> < * > f < * > b < * > <*> instance b < * > <*> < * > <*> < * > <*> < * > <*> < * > e < * > b < * > <*> < * > d 
22,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.285,25743,INFO,nova.osapi_compute.wsgi.server,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"<*>.<*>.<*>.<*> ""POST /v<*>/e<*>ac<*>c<*>b<*>a<*>e<*>f<*>a<*>/os-server-external-events HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",a4dd3814,< * > . < * > . < * > . < * > `` POST /v < * > /e < * > ac < * > c < * > b < * > a < * > e < * > f < * > a < * > /os-server-external-events HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
23,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.296,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] VM Resumed (Lifecycle Event),33150e45,<*> <*> : <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > e < * > <*> < * > <*> < * > <*> <*> <*> <*> <*> <*> <*> <*> 
24,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.302,2931,INFO,nova.virt.libvirt.driver,-,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Instance spawned successfully.,93dac244,[ instance : b < * > <*> < * > a- < * > <*> < * > <*> < * > e < * > b < * > <*> < * > <*> ] Instance spawned successfully . 
25,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.303,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to spawn the instance on the hypervisor.,8c4e1b62,[ instance : b < * > <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > b < * > <*> < * > d ] Took < * > . < * > seconds to spawn the instance on the hypervisor . 
26,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.416,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] During sync_power_state the instance has a pending task (spawning). Skip.,37d0f085,[ instance : b < * > <*> < * > a- < * > <*> < * > <*> < * > <*> < * > b < * > <*> < * > d ] <*> <*> <*> instance <*> a <*> <*> <*> <*> <*> . <*> . 
27,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.417,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] VM Resumed (Lifecycle Event),33150e45,<*> <*> : <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > e < * > <*> < * > <*> < * > <*> <*> <*> <*> <*> <*> <*> <*> 
28,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.421,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (/var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>): checking,e83468dc,image < * > dd < * > - < * > c < * > - < * > fbb- < * > c < * > - < * > fbe < * > b < * > at ( /var/lib/nova/instances/_base/a < * > c < * > f < * > c < * > da < * > b < * > c < * > bb < * > ac < * > e < * > ) : checking 
29,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.424,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (/var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",e6386a66,<*> < * > <*> < * > - < * > c < * > - < * > <*> < * > c < * > - < * > <*> < * > b < * > <*> <*> <*> < * > c < * > <*> < * > c < * > <*> < * > b < * > c < * > <*> < * > <*> < * > <*> < * > <*> : <*> <*> : on this <*> < * > <*> <*> < * > on <*> <*> <*> this <*> <*> 
30,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.470,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to build instance.,e41bfc82,[ instance : b < * > <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > b < * > <*> < * > d ] Took < * > . < * > seconds to build instance . 
31,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.600,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,e19d8e21,Active base files : /var/lib/nova/instances/_base/a < * > c < * > f < * > c < * > da < * > b < * > c < * > bb < * > ac < * > e < * > 
32,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.978,25746,INFO,nova.osapi_compute.wsgi.server,req-d81279b2-d9df-48b7-9c36-edab3801c067 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
33,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:11.243,25746,INFO,nova.osapi_compute.wsgi.server,req-22455aab-13cf-4045-92e8-65371ef51485 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"<*>.<*>.<*>.<*> ""GET /v<*>/<*>fadb<*>c<*>e<*>cdbaed<*>e<*>c<*>a<*>e/servers/detail HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",eaa5fd1a,< * > . < * > . < * > . < * > `` GET /v < * > / < * > fadb < * > c < * > e < * > cdbaed < * > e < * > c < * > a < * > e/servers/detail HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > 
34,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:13.658,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,f01ac742,Auditing locally available compute resources for node cp- < * > .slowvm < * > .tcloud-pg < * > .utah.cloudlab.us 
35,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.265,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"Total usable vcpus: <*>, total allocated vcpus: <*>",7361e749,"Total usable vcpus : < * > , total allocated vcpus : < * > "
36,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.266,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=[],91657f1a,Final resource view : name=cp- < * > .slowvm < * > .tcloud-pg < * > .utah.cloudlab.us phys_ram= < * > MB used_ram= < * > MB phys_disk= < * > GB used_disk= < * > GB total_vcpus= < * > used_vcpus= < * > pci_stats= [ ] 
37,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.329,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us:cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,872813f6,Compute_service record updated for cp- < * > .slowvm < * > .tcloud-pg < * > .utah.cloudlab.us : cp- < * > .slowvm < * > .tcloud-pg < * > .utah.cloudlab.us 
38,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.141,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (/var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>): checking,e83468dc,image < * > dd < * > - < * > c < * > - < * > fbb- < * > c < * > - < * > fbe < * > b < * > at ( /var/lib/nova/instances/_base/a < * > c < * > f < * > c < * > da < * > b < * > c < * > bb < * > ac < * > e < * > ) : checking 
39,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.142,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (/var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",e6386a66,<*> < * > <*> < * > - < * > c < * > - < * > <*> < * > c < * > - < * > <*> < * > b < * > <*> <*> <*> < * > c < * > <*> < * > c < * > <*> < * > b < * > c < * > <*> < * > <*> < * > <*> < * > <*> : <*> <*> : on this <*> < * > <*> <*> < * > on <*> <*> <*> this <*> <*> 
40,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.318,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,e19d8e21,Active base files : /var/lib/nova/instances/_base/a < * > c < * > f < * > c < * > da < * > b < * > c < * > bb < * > ac < * > e < * > 
41,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:16.795,25783,INFO,nova.metadata.wsgi.server,req-b40b44ea-c721-4bc4-b1cd-bb238982ede4 - - - - -,"<*>.<*>.<*>.<*>,<*>.<*>.<*>.<*> ""GET /openstack/<*>-<*>-<*>/meta_data.json HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",fffb20ed,< * > . < * > . < * > . < * > <*> < * > . < * > . < * > . < * > <*> <*> <*> < * > - < * > - < * > <*> <*> < * > . < * > <*> <*> : < * > <*> : < * > <*> : < * > . < * > 
42,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:16.806,25783,INFO,nova.metadata.wsgi.server,-,"<*>.<*>.<*>.<*>,<*>.<*>.<*>.<*> ""GET /openstack/<*>-<*>-<*> HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",7202cd71,"< * > . < * > . < * > . < * > , < * > . < * > . < * > . < * > `` GET /openstack/ < * > - < * > - < * > HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > "
43,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.120,25786,INFO,nova.metadata.wsgi.server,req-f9565d6d-171c-408f-8b5f-9e9792826f42 - - - - -,"<*>.<*>.<*>.<*>,<*>.<*>.<*>.<*> ""GET /openstack/<*>-<*>-<*>/vendor_data.json HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",55d0520e,"< * > . < * > . < * > . < * > , < * > . < * > . < * > . < * > `` GET /openstack/ < * > - < * > - < * > /vendor_data.json HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > "
44,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.441,25793,INFO,nova.metadata.wsgi.server,req-ed0b5830-26a8-4484-8164-feaebe737259 - - - - -,"<*>.<*>.<*>.<*>,<*>.<*>.<*>.<*> ""GET /openstack/<*>-<*>-<*>/vendor_data.json HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",55d0520e,"< * > . < * > . < * > . < * > , < * > . < * > . < * > . < * > `` GET /openstack/ < * > - < * > - < * > /vendor_data.json HTTP/ < * > . < * > '' status : < * > len : < * > time : < * > . < * > "
